recipe,type
"50g/1¾oz dried guajillo chillies, seeds removed 4 large ripe tomatoes 4 garlic cloves, skin on 30g/1oz lard or 3 tbsp vegetable oil 1kg/2lb 4oz braising steak, cubed 1 large onion, roughly chopped 1 tsp ground cumin 1 tsp dried oregano 4 allspice berries, bruised 1 bay leaf 1 tsp salt 2 tbsp chipotles en adobo  12–18 corn tortillas handful coriander, roughly chopped 200ml/7fl oz soured cream Lancashire cheese, crumbled 1 avocado, stone removed, peeled and diced 1 large onion, finely chopped 4 radishes, finely sliced ",mexican
"2kg/4lb 8oz boneless pork shoulder, trimmed and cut into large chunks 2 tbsp vegetable oil, olive oil or lard 1 large onion, finely chopped 4 garlic cloves, roughly chopped 2 oranges, juice only 1 lime, juice only  100ml/3½fl oz full-sugar coca cola 250ml/9fl oz chicken stock or water 1 tsp dried oregano 2 tsp ground cumin 1 tsp dried thyme 1 tsp smoked paprika 1 tsp garlic powder 1 tsp mustard powder 1 tsp ground cinnamon 1 tbsp soft brown sugar 1 tsp salt 1 tbsp oil or butter 1 tbsp soft brown sugar  ",mexican
"1 yellow pepper, seeds removed, diced  1 small mango, peeled and diced  8 cherry tomatoes, cut into quarters  3 spring onions, chopped  1 tsp chopped jalapeño peppers (optional) 1 lime, juice only  salt and freshly ground black pepper  4 flour tortillas  150g/5oz Monterey Jack or cheddar cheese, grated  leftover chicken, shredded, or other cold meat such as turkey 1 green or red pepper, seeds removed, finely diced  small handful coriander leaves, chopped, plus extra to garnish (optional) soured cream and guacamole, to serve (optional) ",mexican
"4 tbsp taco seasoning 3 chicken breast fillets, boneless and skin removed 5 chicken thigh fillets, boneless and skin removed 1 tbsp olive oil 250ml/9fl oz passata 250ml/9fl oz chicken stock 2 bay leaves 1 tbsp cider vinegar salt and freshly ground black pepper 2 tbsp olive oil 1 onion, thinly sliced 1 red pepper, thinly sliced 1 green pepper, thinly sliced 2 garlic cloves, finely chopped 1 tbsp taco seasoning 1 lime, juice only 8 flour tortillas  600g/1lb 5oz cheese, such as Monterey Jack or cheddar, grated 4 avocados, thinly sliced (optional) bunch spring onions, shredded (optional) 2 fresh or pickled jalapeño chillies, chopped (optional) bunch fresh coriander, roughly chopped (optional) soured cream, to serve lime wedges, to serve ",mexican
"2 limes, juice only 2 garlic cloves, crushed 4 tbsp olive oil 1 heaped tsp dried oregano 1 tsp chilli flakes 1 tsp brown sugar 4 chicken thighs, boneless, skin removed flaked sea salt and freshly ground black pepper 2 chipotles en adobo, finely chopped  2 tbsp soured cream 2 tbsp mayonnaise  1 lime, juice only 2 large ripe tomatoes, deseeded and finely chopped ½ onion, finely chopped handful fresh coriander, roughly chopped 1 green serrano or jalapeno chilli, finely chopped 1 lime, juice only 1 green jalapeno or serrano chilli, deseeded and finely chopped ½ small onion, finely chopped 1 large ripe avocado, stone and skin removed 1 lime, juice only small handful fresh coriander, roughly chopped 150g/5½oz long-grain white rice  4 large flour tortillas  4 tbsp freshly grated mozzarella 4 tbsp soured cream ½ Little Gem lettuce, shredded ",mexican
"1 large onion, finely chopped 1 tbsp olive oil 1 garlic clove, crushed 1 tsp smoked paprika 1 tsp dried oregano 1 tsp chilli powder ½ tsp ground cumin 500g/1lb 2oz passata 1 tbsp brown sugar 1 tbsp cider vinegar salt and freshly ground black pepper 2 onions, sliced I red pepper, deseeded and sliced 1 yellow pepper, deseeded and sliced 3 tbsp olive oil 2 garlic cloves, finely chopped 1 red chilli, seeds removed, finely chopped 4 skinless, boneless chicken breasts, cut into thin strips 400g/14oz red kidney beans, drained and rinsed  8 flour tortillas 100g/3½oz cheddar, grated  4 spring onions, trimmed and sliced 2 tbsp finely chopped coriander 1 large avocado, peeled and sliced 150ml/5fl oz soured cream ",mexican
"½ tsp ground cumin ½ tsp ground coriander pinch cayenne pepper ½ tsp dried thyme pinch crushed chillies, plus extra to taste ½ tsp paprika 1 dried bay leaf, crushed freshly ground black pepper 1 large ripe avocado, halved and stoned ½ lime, juice only few sprigs fresh coriander, leaves and stalks chopped 1 small mild chilli, finely chopped (and deseeded, optional) salt 2–3 tbsp vegetable oil 1 brown onion, sliced 1 red pepper, deseeded and sliced 2 garlic cloves, crushed 300g/10½oz leftover roasted chicken (white and brown meat), shredded into bite-sized pieces salt and freshly ground black pepper 2 corn on the cobs 100ml/3½fl oz soured cream ½ lime, zest only 4 large tortilla wraps  100g/3½oz cheddar, grated 1 lime, cut into quarters  ",mexican
"1 small red onion, finely chopped 425g/15oz small vine-ripened tomatoes, chopped 2 garlic cloves, crushed large handful of fresh coriander leaves, chopped freshly ground black pepper 1 tbsp olive oil 1 large red onion, thinly sliced 1 red pepper, cored, deseeded and thinly sliced 1 yellow pepper, cored, deseeded and thinly sliced 450g/1lb chicken breasts, skinned and cut into thin strips pinch paprika pinch mild chilli powder pinch cumin pinch dried oregano 4 soft wholemeal tortillas ½ iceberg lettuce, thinly shredded ",mexican
"16 mulato or ancho chillies (about 200g/7oz), cleaned, seeds removed and retained 4 pasilla chillies, cleaned, seeds removed and retained 30g/1oz stale baguette or white bread (roughly 1 slice) 50g/1¾oz sesame seeds 120g/4½ oz blanched almonds 1 tbsp coriander seeds 6 black peppercorns 5cm/2in cinnamon stick 4 tbsp corn oil 1 small ripe plantain or unripe banana, peeled and thickly sliced 130g/4¾oz raisins or currants 1 onion, thinly sliced 1 garlic clove, roughly chopped pinch ground cloves 1 tsp oregano 1 litre/1¾ pints chicken stock  100g/3½oz dark chocolate (70–85% cocoa solids), roughly chopped 4–5 skinless chicken breasts 2 tbsp sesame seeds salt  handful lettuce leaves 4 corn tortillas, warmed ",mexican
"2 chicken breasts, cut into thin strips 1 can of drained and washed cannellini beans 1 red onion, thinly sliced 1 red chilli, chopped 1 clove garlic, crushed small bunch of coriander, chopped  ½ lemon, juice only salt and freshly ground black pepper 100ml/3½fl oz sour cream 4 taco shells 3 plum tomatoes, de-seeded and chopped 1 red chilli, chopped 1 green pepper, finely chopped ½ red onion ½ lemon, juice only 1 tbsp olive oil 50g/2oz cucumber, finely sliced 50g/2oz cheddar, grated ½ red onion, diced ",mexican
"6 small corn tortillas olive oil, for brushing 400g tin refried beans ¾ tsp ancho chilli powder or chipotle paste ½ tsp ground cumin ¼ tsp garlic granules  2 ripe avocados 1 tbsp fresh lime juice handful fresh coriander, finely chopped 250g/9oz roast chicken, shredded salt and freshly ground black pepper 2 large ripe tomatoes, deseeded and finely chopped ½ onion, finely chopped handful fresh coriander, roughly chopped 1 jalapeno chilli, finely chopped (optional) 1 lime, juice only shredded iceberg or romaine lettuce jalpeno chillies in brine 125g/4½oz Cheddar, grated soured cream ",mexican
"2 tbsp olive oil 1kg/2lb 2oz beef mince 2 onions, finely diced 2 cloves garlic, finely diced 1 stick celery, finely diced 2 chillies, finely diced 1 bay leaf 1 tbsp ground cumin 1 tbsp ground coriander 1 tbsp dried oregano 1 tbsp paprika 2 tsp cayenne 1 tsp ground cinnamon 1 tsp ground black pepper 1 tbsp tomato purée 400g/14oz tinned tomatoes 250ml/9fl oz beef stock 25g/1oz dark chocolate, finely chopped 400g/14oz tinned red kidney beans, rinsed and drained small bunch coriander leaves, roughly chopped basmati rice ",mexican
"2 tbsp sunflower oil 500g/1lb 2oz shin of beef, trimmed and cut into 1cm/½in cubes 1 large onion, chopped 2 garlic cloves, crushed 1 red chilli, finely chopped 1 tsp dried oregano ½ tsp cocoa powder 1 tbsp tomato purée 1 x 400g/14oz tin chopped tomatoes 200ml/7fl oz rich beef stock salt and black pepper 1 x 400g/14oz tin kidney beans, drained and rinsed 3 large roasted red peppers from a jar, deseeded and roughly chopped  125g/4½oz plain flour 125g/4½oz cornmeal ½ tsp salt 115g/4oz unsalted butter, melted and slightly cooled 2 free-range eggs, beaten 250ml/8fl oz buttermilk 1 green chilli, deseeded and very finely chopped ½ tsp baking powder 120g/4¼oz strong Cheddar cheese, grated ",mexican
"4 large skinless boneless chicken breasts, weighing about 200g/7oz each 1 tsp chilli powder 1 tsp sweet paprika  2 tsp cracked black peppercorn  1 tsp garlic salt 1 tsp chopped thyme 1 tsp chopped parsley 1 tsp olive oil  1 tin pinto beans, drained (preferably organic) 1 small red onion, finely chopped 1-2 large red chillies, sliced 2 avocados, peeled, stoned and diced 4 tbsp chopped fresh coriander 2 tbsp lemon juice 6 tbsp extra virgin olive oil salt freshly ground black pepper ",mexican
"1 large pasilla chilli or 4 tsp ground pasilla 200ml/7fl oz double cream pinch salt 1 tsp cayenne pepper (optional) 200g/7oz dark chocolate (70% cocoa solids), finely chopped 6 tbsp cocoa powder 120g/4¼oz plain flour 1½ tbsp caster sugar 1 tsp baking powder pinch salt 1 free-range egg 100ml/3½fl oz ice-cold water or milk (water yields a crisper batter coating) 1 litre/1¾ pints corn oil, for deep frying whipped or clotted cream 250g/9oz small strawberries or raspberries ",mexican
"2 tbsp olive oil 2 onions, chopped 2 garlic cloves, crushed 1kg/2¼lb lean beef mince 250ml/9fl oz red wine 2 x 400g cans chopped tomatoes 3 tbsp tomato purée 2 red chillies, thinly sliced, or 3–4 tsp dried chilli flakes 1 tsp ground cumin  1 tsp ground coriander 1 stick cinnamon good shake of Worcestershire sauce 1 beef stock cube 2 x 400g can red kidney beans, rinsed and drained 1 large bunch coriander leaves, roughly chopped salt and freshly ground black pepper wedges of lime, to serve ",mexican
"500g/1lb 1½oz ripe vine tomatoes ½ onion, skin on 2 garlic cloves, unpeeled 4 pasilla chillies, seeds and stalks removed 8 guajillo chillies, seeds and stalks removed 150ml/5fl oz cola 1 tbsp sunflower oil ½ tsp dried oregano handful coriander stalks, finely chopped freshly ground black pepper ¼ tsp ground cloves 1 tsp cumin seeds, toasted and ground in a pestle and mortar salt, to taste 1 orange, juice only 1 tsp cider vinegar ¼ tsp cocoa powder ",mexican
"2 tbsp unsalted butter  1 large red onion, finely chopped 1 large carrot, finely chopped ½ red pepper, finely chopped 2 fresh bay leaves 2 tsp cumin seeds ½ cinnamon stick 25g/1oz light brown sugar 500g/1lb 2oz pork mince 1 large bunch fresh coriander, roughly chopped 4 garlic cloves 1 green chilli 2 tbsp smoked paprika 1 tsp ground allspice 3 tbsp chipotle paste 2 tbsp cider vinegar 1 large unwaxed lemon, finely grated zest and juice 500ml/18fl oz passata salt and freshly ground black pepper 50g/1¾oz manchego, grated, to serve vegetable oil, for frying  4 flour tortillas 4 spring onions, roughly chopped 1 green chilli, roughly chopped 1 Granny Smith apple, peeled, cored and finely chopped 2 avocados, skin and stone removed, roughly chopped 1 lemon, juice only small bunch fresh coriander, roughly chopped ",mexican
"2 mackerel fillets, bones removed, thinly sliced  1 orange, juice only 1 lime, juice only 1 tsp coriander seeds, toasted and crushed  1 tsp caster sugar  1 tsp sea salt  30g/1oz kale, leaves picked  1 tbsp soy sauce  1 tsp sesame oil 1 lime, juice only  1 red chilli, diced  1 green chilli, diced  1 avocado, mashed with a drizzle extra virgin olive oil  100g/3½oz cooked edamame beans  1 bunch basil, leaves picked  ",mexican
"4 tbsp white vinegar  2 tsp sugar, or to taste  2 red chillies, finely chopped ¼ white cabbage, finely shredded ¼ red cabbage, finely shredded 25g/1oz fresh flatleaf parsley 2 garlic cloves, roasted 2 spring onions, trimmed 1 sweet potato, cubed and roasted  400g tin cooked lentils  1 red chilli, finely chopped 1 orange, zest only 200g tin prunes in juice, drained salt and freshly ground black pepper 250g/9oz dates, stones removed 3 red chillies, roughly chopped 1 ripe avocado, roughly mashed 1 lemon, juice only ½ lime, juice only 1 tbsp olive oil salt and freshly ground black pepper 8 flour tortillas oil, for frying 800g tin duck confit ",mexican
"4 large chicken thighs 2 tbsp natural yoghurt 1 lime, juice and zest 1 tsp honey ¼ tsp smoked paprika 4 sweetcorn on the cob with husks on 4 tbsp olive oil 1 onion, finely chopped 3 garlic cloves, finely chopped ½ tsp lemon thyme leaves 1 dried chipotle chilli, seeds removed, finely chopped or 1 tsp chipotle paste 200ml/7fl oz apple juice  1-2 tbsp quinoa ½ red pepper 1 cucumber, cut into 5cm/2in chunks ¼ small red onion 1 tomato  3 tbsp olive oil  salt and freshly ground black pepper ½ garlic clove 1 lime, juice only ½ handful of fresh mint, chopped ½ handful of fresh coriander, chopped   ½ handful of fresh basil, chopped  ",mexican
150g/5½oz masa harina (available online) pinch salt 100ml/3½fl oz cold water 1 tbsp olive oil ,mexican
"1 small red onion, peeled, finely sliced ½ tsp dried oregano 5 black peppercorns, left whole 1½ limes, juice only ½ orange, juice only ½ tsp sea salt flakes 500g/1lb 2oz line-caught sea bass fillets, scales and gills removed sea salt flakes pinch chipotle chilli powder 2 ripe avocados, peeled, cut in half, stones removed 1 lime, juice only, plus extra to serve 2 tbsp good-quality ready-made mayonnaise small bunch fresh coriander, roots trimmed, stalks finely chopped, leaves left whole 1 small green chilli, seeds removed, finely chopped sea salt flakes  1 tsp olive oil 6 ready-made soft corn tortillas ",mexican
"24 raw king prawns, peeled, tails on (about 600g/1lb 5oz frozen raw shell-on prawns) 175g/6oz plain flour 1½ tsp baking powder 1 medium egg, beaten 150ml/5fl oz ice-cold water 60g/2¼oz panko breadcrumbs 60g/2¼oz unsweetened desiccated coconut 600ml/200fl oz corn oil, for deep frying salt and freshly ground black pepper 1 large papaya, skin and seeds removed, roughly chopped ½–1 habanero chilli, stem and seeds removed, roughly chopped 1 banana shallot, roughly chopped 1 garlic clove, halved 3 tbsp cider vinegar 2 thin slices fresh root ginger, skin removed 1 lime, juice only 1 orange, juice only 1 tbsp soft brown sugar 1 large pinch ground allspice ½ tsp salt ",mexican
"4 large corn on the cobs, halved 60g/2¼oz cotija, feta or mild pecorino, crumbled small bunch coriander, finely chopped 4 spring onions, trimmed and finely chopped 1–2 tsp chilli flakes 2 limes, zest only 4 tbsp mayonnaise lime wedges, to serve ",mexican
"6 flour tortillas  2 chicken breasts, cut into strips 2 garlic cloves, finely chopped  ½ tsp ground cumin  1 tsp chilli powder  1 lime, juice only 2 tbsp olive oil  1 red onion, thinly sliced 2 peppers, preferably different colours, thinly sliced salt and freshly ground black pepper  1 avocado, peeled, de-stoned and mashed  handful shredded iceberg lettuce handful fresh coriander, leaves picked salsa, shop-bought or homemade soured cream grated cheddar ",mexican
"2 garlic cloves, crushed or finely grated 1 orange, zest and juice only  2 large limes, zest and juice only  2 tbsp Mexican hot chilli sauce 2 tbsp tomato purée 1 tsp dried oregano 1 tsp ground cumin 1 tsp flaked sea salt or ½ tsp fine salt 1 tsp freshly ground black pepper 6 boneless, skinless chicken thigh fillets, fat trimmed 4 corn tortillas, warmed, to serve 2 Little Gem lettuces, leaves separated, rinsed and dried, to serve 1 ripe avocado (about 150g/5½oz), stoned, peeled and sliced, to serve soured cream or reduced-fat crème fraîche, to serve 1 red onion, finely sliced  1 tbsp white or red wine vinegar 1 tbsp caster sugar ",mexican
"1½ tbsp olive oil  4 spring onions, thinly sliced  400g tin mixed beans in water, drained 1 tbsp chipotle paste  4 flour tortillas  100g/3½oz cheddar, grated  4 tbsp soured cream (optional) 1 lime, juice only (optional) handful fresh coriander, to garnish (optional) ",mexican
"2 x 400g tins beans (e.g. black beans, cannellini beans, borlotti beans), drained and rinsed 100g/3½oz frozen peas or sweetcorn  2 x 400g tins chopped tomatoes 1 tsp dried oregano ¼ tsp dried red chilli flakes 2 tbsp tomato purée 8 crispy tacos shells ½ ripe avocado  ¼ lemon, juice only  handful coriander leaves, roughly chopped 60g/2¼oz Cheddar cheese, grated, to serve soured cream, to serve  ",mexican
"1 tbsp rapeseed oil  1 large onion, finely chopped  2 garlic cloves, finely chopped 1 red chilli, finely chopped  ½ tsp ground cumin 1 tbsp paprika  1 tsp chilli powder 250g/9oz soya mince  400g tin chopped tomatoes 3 tbsp tomato purée 300ml/½pint vegetable stock 1 green pepper, seeds removed and cubed 1 yellow pepper, seeds removed and cubed 1 carrot, grated  400g tin kidney beans in water, drained  1 tsp cornflour  handful fresh coriander, finely chopped 2 wholemeal pitta breads, halved 4 tbsp sour cream 50g/1¾oz cheddar, grated ",mexican
"1 small red onion, peeled, halved and sliced into half moons 2 limes, juice only 125g/4½oz mayonnaise 2 tsp gochujang paste, or other hot sauce, to taste 1 x 198g/7oz tin sweetcorn, drained 1 fresh red chilli, finely diced (de-seed if you don’t like too much heat) 3 tbsp chopped fresh coriander salt, to taste 4 skinless fillets of firm white fish, such as hake or haddock (750–900g/1lb10oz-2lb total), from the thicker loin end 1 tsp ground cumin ½ tsp paprika 1 tsp sea salt flakes 1 garlic clove, peeled and finely grated or minced 2 tbsp regular olive oil 8 soft corn tortillas 2 ripe avocados 1 lime, juice only salad leaves of your choice 1–2 tbsp chopped fresh coriander 2 limes, cut into wedges ",mexican
"1 red onion, finely chopped 5 tomatoes, skins and seeds removed, finely chopped  3-4 chillies, seeds removed and finely chopped 1 tsp sugar 1 lime, juice only 4 tbsp chopped fresh coriander pinch salt 1 large avocado, peeled, halved, stone removed 1 green chilli, seeds removed 1 lime, juice only 2 spring onions, chopped 1 tbsp chopped fresh coriander 3 tbsp vegetable oil ½ tsp salt 2 x 325g/12oz sea bass, filleted salt and freshly ground black pepper  225g/8oz plain flour 2 free-range eggs 200ml/7fl oz water sunflower oil, for deep-frying 8 soft flour tortillas, warmed in an oven or microwave 225g/8oz iceberg lettuce, finely shredded 300ml/10 oz soured cream ",mexican
"600g/1lb 5oz strong white flour, plus extra for dusting 2 heaped tbsp baking powder 1 tbsp dried thyme 1 tsp salt 100ml/3½fl oz olive oil, plus extra for grilling 100g/3½oz sun-blushed tomatoes, drained and finely chopped (optional) 350ml/12fl oz warm milk or water, or as much as needed 100g/3½oz butter 1 tsp salt bunch fresh coriander, very finely chopped ",mexican
"¼ onion, roughly chopped 1½ green serrano or jalapeño chillies, stems removed, halved 2 garlic cloves, finely chopped 125ml/4½fl oz chicken stock or water 380g tin tomatillos, available online ½ tsp flaked sea salt 300ml/10fl oz corn or sunflower oil, plus 2 tablespoons 4 corn tortillas, each cut into 8 triangles 4 free-range eggs 75g/2½oz Lancashire cheese or feta, crumbled 1 shallot, thinly sliced 1 tbsp roughly chopped fresh coriander 4 tbsp soured cream ",mexican
"2 chicken legs  1 chicken stock cube  2 green tomatoes, finely chopped 1 habanero chilli, finely chopped 1 shallot, finely chopped  1 garlic clove, finely chopped 1 lime, juice only  2 tbsp finely chopped fresh coriander splash tequila  salt 1 tbsp vegetable oil 1 onion, finely chopped 3 garlic cloves, finely chopped  1 tsp dried oregano  2 dried chipotle chillies, soaked in warm water then finely chopped 1 tbsp cider vinegar  1 tbsp dark brown soft sugar  500ml/18fl oz passata  salt vegetable oil, for deep-frying 4 small soft tortillas  1 Little Gem, shredded 100ml/3½fl oz soured cream  ½ tsp smoked paprika ",mexican
"350g/12oz green chillies 350g/12oz plum tomatoes, chopped 1 medium red onion, diced 3 garlic cloves, chopped ¼ tsp ground cumin salt freshly ground black pepper ",mexican
