recipe,type
"100g/3½oz buckwheat flour 1 free-range egg 50g/2oz butter, melted  1 tbsp ghee dash olive oil salt and freshly ground black pepper 2 tbsp butter 2 large red onions, thinly sliced 2 green apples, peeled, cored, chopped into 3cm/1¼in chunks pinch sea salt flakes freshly ground black pepper, to taste squeeze lemon juice 70g bag rocket, washed and dried 200g/7oz feta ",french
"1 egg 2 tbsp caster sugar 250g/9oz tub mascarpone cheese 225g/8oz brioche slices, 1cm/½in thick, taken from a shop-bought brioche loaf 2 400g/14oz cans apricot halves, drained 4 tbsp demerara sugar créme fraïche to serve ",french
"75g/2¾oz caster sugar 40g/1½oz unsalted butter, cubed 300g/10½oz fresh apricots, halved and stoned (about 7 or 8 apricots) 375g/13oz sheet of ready-rolled puff pastry, plain flour for dusting crème fraiche or ice cream, for serving ",french
"60g/2¼oz strong white bread flour, plus extra for dusting 60g/2¼oz plain flour 1 tsp salt 40g/1½oz unsalted butter, melted 125g/4½oz unsalted butter, at room temperature 25g/1oz strong white bread flour 25g/1oz plain flour 50g/1¾oz granulated sugar 2 tsp ground cinnamon icing sugar, for dusting ",french
"8 banana shallots 50ml/2fl oz olive oil, plus extra for drizzling 10g/¼oz thyme  100g/3½oz butter  1 bottle red wine, preferably Merlot 500ml/18fl oz veal stock  10 baby artichokes  1 lemon, juice only 6 slices prosciutto cotto  2 burrata  salt and freshly ground black pepper ",french
"200g/7oz salt cod 1 large baking potato 2 globe artichokes, outer leaves removed 1 tsp lemon juice 500ml/18fl oz milk 1 garlic clove, thinly sliced 1 bay leaf 1 thyme sprig 50ml/2fl oz olive oil 4 tbsp fresh breadcrumbs salt and freshly ground black pepper 1 castelfranco lettuce, leaves separated ½ lemon, juice only 3 tbsp olive oil  ",french
"250g/9oz strong white flour, plus extra for dusting 5g/¼oz salt 5g/¼oz fast action dried yeast 30ml/1fl oz olive oil, plus extra for oiling 180ml/6fl oz water ",french
"50g/1¾oz unsalted butter 50g/1¾oz finely chopped parsley  1 garlic clove, crushed salt   500ml/18fl oz full-fat milk  30g/1oz yeast or 2 x 7g sachets of fast-action yeast 1kg/2lb 4oz strong bread flour 120g/4½oz unsalted butter at room temperature 80g/3oz caster sugar 20g/¾oz salt 4 large free-range eggs, plus 1 beaten egg for brushing 1kg/2lb 4oz brie wheel 1 garlic clove fresh thyme sprigs fresh rosemary sprigs  olive oil, for drizzling 2 tbsp aniseed liqueur bread, toasted green salad cooked new potatoes cured meat selection ",french
"250g/9oz plain flour, plus extra for dusting 15g/½oz fresh yeast 2 pinches caster sugar 2 pinches salt 150g/5½oz water, at room temperature 2 tbsp extra virgin olive oil 2 tbsp unsalted melted butter 1 pinch black onion seeds 1 pinch ground cumin 1 pinch coarse sea salt 2 boxes camembert (or vacherin Mont D’or, or Tunworth) 2 garlic cloves, sliced  1 sprig rosemary, leaves picked  1 pinch chilli flakes few slices truffle flatbreads, to serve ",french
"1 whole camembert, in its box 1 garlic clove, sliced 3-4 sprigs fresh thyme 1 tsp olive oil 1 small ciabatta loaf, cut in half 1 tbsp olive oil 1 garlic clove, peeled ",french
"4 plaice fillets 150ml/5fl oz dry white wine butter for greasing 50g/1¾oz anchovy fillets 2 garlic cloves, peeled 175g/6¼oz pitted green olives 1 lemon, juice only 4 tbsp olive oil 20g/¾oz, or large handful, basil leaves 20g/¾oz, or large handful, flatleaf parsley salt and freshly ground black pepper 16 baby plum or cherry tomatoes 2 tbsp olive oil ",french
"1.5kg/3lb 5oz brown onions, sliced  85g/3oz unsalted butter  1 tbsp olive oil  1 tsp thyme leaves   2 bay leaves  1 tsp salt  2 tsp caster sugar  25g/10z plain flour  1 bottle dry white wine  2 litres/3 pints 10½fl oz chicken or vegetable stock  175g/6oz gruyère cheese, grated  12 x 2cm/¾in slices of French bread, toasted on both sides  1 garlic clove  3 egg yolks  150ml/¼ pint double cream  2 tbsp of brandy  4 tbsp of madeira ",french
"100g/3½oz caster sugar 1½ tbsp rum 25g/½oz butter 8 bananas, peeled and cut into 2½cm/1in chunks 500g/1lb 2oz puff pastry 1 egg, beaten, for glaze ",french
"100g/3½oz caster sugar 75g/2¾oz butter, plus extra for greasing pinch ground cardamom (optional) 1 orange, zest only (optional) 4-5 bananas, peeled and cut into 2cm/¾in chunks. 375g/13oz block puff pastry 250ml/9fl oz full-fat milk 250ml/9fl oz double cream 4 free-range egg yolks 50g/1¾oz caster sugar 3 tbsp cocoa powder 1 tsp cornflour ",french
"2 small red onions, cut into quarters 1 red bell pepper, cored, seeds removed, cut into 1cm/½in thick strips 1 green bell pepper, cored, seeds removed, cut into 1cm/½in thick strips 6 garlic cloves, thinly sliced 1 chicken, weighing about 1.6kg/3lb 8oz, cut into 8 pieces 2 tsp piment d’Espelette (red chilli powder), available online or in specialty food stores 1 tsp crushed red pepper flakes 250ml/9fl oz dry white sherry 1 lemon, juice only 125g/4½oz fresh chorizo, cut into 5mm/¼in thick pieces extra-virgin olive oil 250ml/9fl oz chicken stock or water 4 plum tomatoes, halved lengthwise  sea salt and freshly ground black pepper 2 large globe artichokes  5 tbsp extra-virgin olive oil 1½ tbsp sherry vinegar 1 tsp piment d’Espelette  2 garlic cloves, finely chopped 125g/4½oz frisée leaves, white and light yellow parts only 2 red bell peppers, cored, seeds removed, diced 2 bunches of spring onions, trimmed, thinly sliced 1 small red onion, thinly sliced 4 tbsp fresh flatleaf parsley leaves ",french
"300g/10½oz butter 4 tbsp white wine vinegar 4 shallots, chopped 3 tbsp chopped fresh tarragon, plus 2 tbsp whole tarragon leaves salt and freshly ground black pepper 4 free-range egg yolks 1 tsp lemon juice ",french
"425ml/15fl oz milk  a few parsley stalks  1 bay leaf  1 blade of mace or a pinch of powdered mace (optional)  10 whole black peppercorns  1 slice onion, 1/4 inch (5 mm) thick  40g/1½oz butter  20g/¾oz plain flour  salt and freshly milled black pepper ",french
"900g/2lb chuck steak, cut into 5cm/2in cubes 500ml/17½fl oz red wine 1 tbsp fresh thyme 1 bay leaf 1 garlic clove, chopped 1 tbsp vegetable oil 100g/3½oz bacon lardons 1 onion, sliced 1 carrot, sliced salt and freshly ground black pepper 30g/1oz plain flour 30g/1oz tomato purée 250ml/9fl oz game stock, or chicken stock 50g/2oz butter 16 small shallots 300g/10½oz button mushrooms handful fresh parsley, chopped rice, cooked according to packet instructions, or boiled potatoes ",french
"2 tbsp plain flour salt and freshly ground black pepper 1 kg/2lb 4oz blade of beef, cut into large cubes 2 tbsp olive oil 150g/5oz pancetta, cut into small chunks 2 shallots, finely chopped 1 garlic clove, crushed 50ml/2fl oz brandy 500ml/18fl oz Burgundy, or other red wine 250ml/9fl oz beef stock 1 bouquet garni made up of 2 bay leaves, 2 sprigs thyme, 2 sprigs flat-leaf parsley 25g/1oz butter 150g/5oz peeled baby shallots (or frozen button onions) 200g/7oz chestnut mushrooms 1kg/2lb 4oz floury potatoes, peeled and cut into chunks 110g/4oz butter 110ml/4fl oz full-fat milk 1 tbsp olive oil 25g/1oz butter 100g/3½oz small pearl onions, peeled (or frozen button onions) 100g/3½oz pancetta, cut into lardons  150g/5oz button mushrooms, stalks removed left whole ½ bunch flat-leaf parsley, finely chopped ",french
"200g/7oz leftover cooked vegetables, roughly chopped 1 tbsp chopped flatleaf parsley sea salt and freshly ground black pepper 50ml/2fl oz leftover beef gravy, plus extra to serve 2 x 375g/13oz ready-made all-butter puff pastry plain flour, for dusting 2 tsp wholegrain mustard 300g/10½oz leftover cooked beef, cut into thin slices 2 free-range egg yolks, beaten ",french
"4 x 200g/7oz beef fillet steaks salt and freshly ground black pepper 2 tbsp vegetable oil 115g/4oz butter 1 onion, skin on, halved 150ml/5fl oz Madeira 150ml/5fl oz red wine 250ml/9fl oz beef or veal stock 250g/9oz baby spinach leaves 1 pinch freshly grated nutmeg 175g/6oz duck liver pâté 4 slices brioche  ",french
"50g/1¾oz butter, cubed 10–15 raw small beetroot, trimmed and well-scrubbed 2 tbsp soft light brown sugar 2 tbsp balsamic vinegar 1 tsp fresh thyme leaves 320g/11oz sheet all-butter puff pastry 100g/3½oz soft goats’ cheese handful small mint leaves ",french
"1.5kg/3lb5oz chuck beef or braising steak, cut into 5cm/2in pieces 3 tbsp olive oil 1 large carrot, peeled and cut into chunks 1 large onion, peeled and cut into chunks 2 sticks celery, rough chopped 2 bottles red burgundy wine 2 sprigs fresh thyme 1 head garlic, cut in half horizontally 4 bay leaves 50g/2oz unsalted butter 225g/8oz whole piece of smoked bacon or pancetta 450g/1lb shallots, peeled 2 tbsp plain flour 375g/12oz chestnut mushrooms  290ml/½ pint fresh beef stock 5 tbsp brandy freshly chopped flatleaf parsley ",french
"170g/6oz icing sugar 150g/5½oz ground almonds 10g/¼oz cocoa powder 4 (125ml/4fl oz) medium free-range egg whites  165g/5¾oz granulated sugar 125g/4½oz dark chocolate, minimum 70% cocoa, finely chopped 125ml/4fl oz double cream 1 tsp kirsch (optional) 100g/3½oz Morello cherry jam or cherry conserve ",french
"115g/4oz icing sugar, plus extra for dusting  250g/9oz shop-bought puff pastry  200g/7oz (or 1 punnet) blueberries  165ml/5½fl oz whipping cream  25g/1oz icing sugar  1 vanilla pod, seeds only (or alternatively 2 drops of vanilla extract) 1 lemon, finely grated zest and a squeeze of the juice  ",french
"210g/7¼oz plain flour, plus extra for dusting pinch salt 100g/3½oz butter, chilled and diced 40g/1½oz caster sugar 1 free-range egg, beaten 1 tbsp iced water 75g/2¾oz ground almonds 600g/1lb 5oz fresh or frozen blueberries, defrosted 150ml/5fl oz double cream 75g/2¾oz icing sugar, sifted 2 free-range eggs, beaten 1 tsp vanilla extract single cream or crème fraîche, to serve ",french
"1.6kg/3lb 8oz good-quality braising steak (chuck steak)  4–5 tbsp sunflower oil 200g/7oz smoked bacon lardons or smoked streaky bacon, cut into 2cm/¾in pieces 1 large onion, finely chopped 2 garlic cloves, crushed 75cl bottle red wine 2 tbsp tomato purée 1 beef stock cube 2 large bay leaves 3 bushy sprigs fresh thyme 25g/1oz butter 450g/1lb button onions, or 24 baby onions 300g/10½oz button chestnut mushrooms, wiped and halved or quartered if large 2 heaped tbsp cornflour 2 tbsp cold water flaked sea salt and freshly ground black pepper chopped fresh parsley, to garnish ",french
"900g/2lb beef shin or stewing beef, cut into 6 large chunks 2 tbsp plain flour 2 tbsp vegetable oil 150g/5½oz lardons or cubes of smoked bacon 10 button onions or shallots, peeled 2 cloves garlic, crushed flat 1 bay leaf bunch parsley, stalks only sprig of thyme  sprig of rosemary  3 cloves 10 peppercorns, crushed 500ml/18fl oz red wine 1 tbsp tomato purée 1 tsp sugar 1 tsp salt 10 chestnut mushrooms parsley leaves, chopped, to garnish 200g/7oz stale baguette or other bread (crust included) handful chopped parsley 250ml/9oz milk pinch of nutmeg salt and freshly ground black pepper 1 free-range egg 1 tbsp plain flour butter, for frying ",french
"1.5kg/3lb 5oz beef brisket, trimmed of excess fat and cut into large 6cm/2½in chunks salt, to taste 2 large onions, finely sliced 4 carrots, peeled and cut into 1cm/½in rounds 2 sticks celery, cut into 1cm/½in slices 6 garlic cloves, finely chopped 1 bottle red wine 100ml/3½fl oz brandy or cognac 50ml/2fl oz red wine vinegar 4 bay leaves 2 large sprigs thyme few sprigs parsley 2 pieces pared orange zest 4 cloves 1 tsp black peppercorns 2 x 4cm/1½in pieces cinnamon stick 4 tbsp olive oil 150g/5½oz bacon lardons 1 onion, finely chopped 2 tbsp tomato purée 600ml/20fl oz beef stock 150g/5½oz black olives 300g/10½oz red camargue rice, cooked according to packet instructions ",french
"2 tbsp olive oil 2 onions, finely chopped  1 small fennel, finely chopped 2 garlic cloves, crushed 1 heaped tbsp tomato purée  100ml/3½fl oz dry white wine 750ml/1¼ pint fish stock 6 large tomatoes, skinned and roughly chopped  pinch saffron small bunch basil, stalks and leaves separated, leaves shredded 1 small orange, zest and juice 1kg/2lb 4oz mussels, scrubbed and debearded 350g/12oz cod, skinned and cut into 15mm/⅝in slices 2 sea bass fillet, skinned and cut into 5 slices  200g/7oz cooked crayfish tails, shelled salt and freshly ground black pepper pinch saffron ½ small lemon, juice only  6 heaped tbsp full-fat mayonnaise  1 large garlic clove, crushed  ",french
"2 bulbs garlic, unpeeled with the tops sliced off 40g/1½oz butter 80ml/3fl oz extra-virgin olive oil salt and freshly ground black pepper 1 squidge of honey 2 fresh rosemary sprigs 3 bay leaves 200-250g/7-9oz camembert, plastic wrapping and lid removed but still in its wooden box, at room temperature 1 baguette, ripped into 10cm/4in pieces and sliced horizontally ",french
"1 tbsp olive oil 750g/1lb 10oz aubergines, cut into 1cm/1½in chunks 1 large onion, cut into 1cm/1½in chunks 3 celery sticks, roughly chopped 2 large beef tomatoes, skinned and deseeded 1 tsp chopped thyme ¼-½ tsp cayenne pepper 2 tbsp capers, drained small handful pitted green olives 4 tbsp white wine vinegar 1 tbsp sugar 1-2 tbsp cocoa powder (optional) freshly ground black pepper To garnish chopped almonds, toasted chopped parsley ",french
"butter, for greasing 4 large free-range egg yolks 45g/1½oz caster sugar ½ tsp vanilla extract 300ml/10fl oz single cream 300ml/10fl oz double cream 2½ tsp instant coffee granules 100g/3½oz caster sugar, for the caramel topping ",french
"75g/2¾oz butter, diced 100g/3½oz plain flour 3 free-range eggs 280ml/9¾fl oz milk 3 free-range egg yolks 60g/2¼oz caster sugar 2 tbsp instant coffee granules 30g/1oz plain flour 1 x 397g/14oz tin caramel condensed milk 300ml/10½fl oz double cream 75g/2½oz icing sugar 70ml/2½fl oz coffee liqueur 200g/7oz soft light brown sugar 60ml/2¼fl oz full-fat milk 75g/2½oz butter 75g/2½oz plain flour 8g whole edible coffee beans, roughly chopped  80g/3oz caster sugar 80g/3oz pecans ",french
900g/2lb pork fillet 1-2 tbsp olive or sunflower oil 110g/4oz onion finely chopped 60ml/2 ½ fl oz dry white wine 150ml/¼ pint chicken stock (preferably homemade) 225g/8oz mushrooms sliced 300ml/½ pint sour cream or light cream fresh lemon juice salt and freshly ground pepper 2 tbsp freshly chopped flatleaf parsley  110g/4oz butter  110g/4oz white flour 6-8 croutons made with white bread pan fried in clarified butter or olive oil ,french
"50g/1¾oz butter, plus extra for greasing  2 onions, finely sliced 1 celeriac, cut into 0.5cm/½in thick slices 500g/1lb 1oz potatoes, cut into 0.5cm/½in thick slices 600ml/1 pint 1 fl oz hot chicken stock (vegetarians can substitute vegetable stock) salt and freshly ground black pepper ",french
"½ small celeriac, cut into thin strips ½ lemon, juice only 2 tbsp double cream  3 tbsp good-quality mayonnaise 2 tsp Dijon mustard salt and white pepper ",french
"2 banana shallots, unpeeled 4 thyme sprigs 12 tbsp olive oil 1 chateaubriand steak dash oil 1 head of garlic, halved few thyme sprigs 50ml/2fl oz Madeira wine 30g/1oz butter salt and freshly ground black pepper  8 whole garlic cloves, peeled  oil, for frying  100g/3½oz smoked pancetta, cut thickly into lardons 10 button mushrooms, quartered 2 tbsp button onions  150ml/5fl oz port  1 bay leaf 1 thyme sprig splash sherry vinegar  150ml/5fl oz dark beef stock  400g/14oz bone marrow pieces salt and freshly ground black pepper 6 tarragon sprigs, leaves only  small bunch flatleaf parsley, leaves only 200ml/7fl oz groundnut oil ",french
"2 tbsp tarragon vinegar 50ml/2floz white wine 1 tsp white peppercorns 1 small banana shallot, finely diced 4 eggs, yolks only ¼ lemon, juice only 200g/7oz butter, melted salt and freshly ground black pepper 2-3 tbsp chopped tarragon leaves 2 x 800g/1lb12oz chateaubriand, fully trimmed 1 tbsp olive oil 75g/3oz butter 4 small stems cherry tomatoes on the vine 4 large chipping potatoes, cut into 1x7.5cm/½x3in batons  1 large bunch watercress ",french
"8 cooked joints of chicken, on the bone - a mixture of breasts and thighs or legs 30g/1oz butter 1 tbsp olive oil 4 garlic cloves, chopped 2 red onions, sliced 140g/5oz pancetta in one piece, rind removed and chopped 250g/9oz button mushrooms good pinch of dried thyme 290ml/½ pint red wine 500ml/17fl oz fresh chicken stock  150ml/¼ pint double cream 2 tbsp chopped fresh parsley salt and freshly ground black pepper ",french
"3 free-range eggs 10g/½oz unsalted butter 30g/1oz cheddar, preferably Montgomery cheddar 1 thick slice ham, finely chopped salt and freshly ground black pepper ",french
"1 tbsp soft butter 500g/1lb 2oz waxy potatoes, e.g. Maris Peer or Charlotte 1 onion, finely chopped  1 garlic clove, finely chopped  1 bay leaf 200g/7oz lardons or cubes of smoked bacon  100ml/3½fl oz dry white wine 250g/9oz Reblochon cheese, cubed ",french
"25g/1oz butter 25g/1oz plain flour 400–500ml/14–18fl oz milk 80g/3oz cheese, grated (e.g. mature cheddar, gruyère) salt and white pepper ",french
"80g/3oz dried white breadcrumbs 125/4oz butter 125g/4oz plain flour 600ml/1 pint milk 6 eggs, yolks and whites separated 180g/6oz mature cheddar, grated 1 tsp grain mustard 2.5ml/½ tsp cayenne pepper salt and pepper ",french
"250g/9oz plain flour 1 tbsp baking powder 150g/5½oz soft goat’s cheese, cut into small pieces 80g/2¾oz pistachios, roughly chopped 100g/3½oz prunes, roughly chopped 4 free-range eggs 150ml/5fl oz olive oil 100ml/3½fl oz milk 50g/1¾oz plain yoghurt  1 tsp salt  pinch freshly-ground black pepper ",french
"2 x 100g/3½oz beef fillet  2 tbsp olive oil 1 garlic clove  sprig fresh thyme 2 bay leaves  3 sprigs fresh chevril  2 sprigs fresh flatleaf parsley salt and freshly ground black pepper  2 Portobello mushrooms pinch ground cumin salt and cracked white pepper  1 tbsp olive oil  160g/5½oz baby spinach leaves 3 tbsp vegetable stock salt and freshly ground black pepper 1 tbsp olive oil 2 fresh plum tomatoes, de-seeded and finely chopped 1 garlic clove, finely chopped 100g/3½oz gruyere cheese, grated ",french
"450g/1lb ripe cherries, the best you can find, stones removed 3 tbsp caster sugar, plus extra for sprinkling 3 tbsp kirsch (optional) 20g/¾oz unsalted butter, plus extra for greasing 2 free-range eggs 3 tbsp caster sugar, plus extra for sprinkling ½ tsp vanilla extract 1 heaped tbsp plain flour 50g/1¾fl oz whole milk 75g/2¼fl oz whipping cream pinch sea salt ",french
"300g/11oz ripe cherries 150g/5oz caster sugar 2 bay leaves 2 sprigs fresh thyme 3 free-range egg whites 90g/3½oz caster sugar 90g/3½oz icing sugar, sieved 250g/9oz tender young rhubarb stalks, cut into small cubes 100g/3¾oz caster sugar 1 vanilla pod, split lengthways ",french
"softened butter, for greasing 6 large free-range eggs, separated  150g/5½oz caster sugar 50g/1¾oz cocoa powder 150g/5½oz plain dark chocolate, broken into squares 300ml/10fl oz double cream 200g/7oz chestnut purée 40g/1½oz caster sugar 50g/1¾oz plain dark chocolate, broken into squares 50g/1¾oz white chocolate, broken into squares 1 tsp icing sugar ",french
"4 boneless chicken breasts  2 fennel bulbs  2 large carrots, peeled  2 tbsp olive oil  30g/1oz butter  2 tbsp fresh fennel seeds  salt and freshly ground black pepper  2 tbsp clear honey  2 lemons, juice only  4 tbsp olive oil  pinch salt pinch cayenne pepper ",french
"500g/1lb 2oz dried white haricot beans 1 onion, peeled 1 large carrot 250g/9oz piece of unsmoked bacon in the piece, with its fat and skin 2-3 bay leaves a ham bone 2-3 garlic cloves 8-10 whole, black peppercorns 2 tbsp duck fat, plus 1 tbsp for drizzling 500g/1lb 2oz boned pork shoulder or leg, cubed 4 Toulouse sausages 4 chicken breasts, sliced  6 thick slices corned beef 2 onions, thickly sliced 4 fat garlic cloves, chopped 3 large tomatoes, peeled and chopped 4 bay leaves 4 pieces duck confit, preferably legs 80g white breadcrumbs ",french
"1 x 1.5kg/3lb 5oz chicken, cut into 8 pieces salt and freshly ground black pepper 50g/2oz plain flour 2 tbsp olive oil 115g/4oz butter 110g/4oz smoked streaky bacon, sliced into lardons 150g/5½oz button mushrooms 150g/5½oz shallots, thickly sliced 55g/2oz caster sugar 175ml/6fl oz white wine 300ml/10fl oz chicken stock 2 tbsp tomato purée 2 tbsp tarragon, finely chopped 2 tomatoes, skinned, seeded and chopped 4 tbsp flat leaf parsley, finely chopped 1 kg/2lb 4oz floury potatoes, peeled and cut into chunks 115g/4oz butter 125ml/4fl oz full fat milk ",french
"125g/4½oz plain flour sea salt and freshly ground black pepper 7.5kg /9lb 13oz chicken thighs, skinned and bone removed and cut into 3cm pieces 150ml/5fl oz sunflower oil 875g/1lb 15oz button mushrooms 5 onions, sliced 2.8 litres/5 pints chicken stock 150ml/5fl oz tomato purée 25g/1oz fresh tarragon, half left as sprigs, half finely chopped 5 x 400g/14oz tins chopped tomatoes small bunch curly parsley, finely chopped ",french
"4 boneless skinless chicken breasts 175g/6oz emmental, cut into 8 chunks 4 slices good-quality thick-cut ham salt and freshly ground black pepper 75g/2¾oz plain flour 3 free-range eggs, lightly beaten 150g/5oz Japanese panko breadcrumbs 150g/5oz butter 300g/10½oz French beans, trimmed 25g/1oz flaked almonds ",french
"250ml/9fl oz water 115g/4oz butter 200g/7oz plain flour 1 tsp caster sugar pinch salt 4 free-range eggs 50g/2oz dark chocolate, chopped 150g/5½oz fondant icing sugar 2 tbsp dark cocoa powder 450ml/16fl oz double cream ",french
"olive oil, for frying  1.2 kg/2lb 12oz or 4 beef cheeks or feather blade, trimmed 	 100g/3½oz smoked bacon rashers/lardons  2 onions, finely chopped						 300g/10½oz carrots, thinly sliced						 1 celery stick, thinly sliced			 250g/9oz tinned tomatoes 750ml/26fl oz red wine  500ml/18fl oz brown veal stock  375ml/ /13fl oz dry white wine  1 sprig rosemary  4 sprigs lemon thyme						 10 black peppercorns  4 cloves  ½ cinnamon stick						  1 lemon, peel removed using a paring knife  ½ orange, peel removed using a paring knife sea salt and freshly ground black pepper 170g /6oz frozen pearl onions (available online)			 200g/7oz Chantenay carrots, peeled  50g /1¾oz butter  1 tsp golden caster sugar  2 sprigs lemon thyme 				 2 sprigs rosemary sprigs			 ½ bay leaf  Mashed potato ",french
"1 kg/2lb 4oz floury potatoes such as Russet, King Edward, Maris Piper or Desiree, sliced into thin slices, about 3mm/⅛in thick 3–4 garlic cloves, grated 500ml/17½fl oz double cream (you may need a bit extra) salt and freshly ground black pepper ",french
"4 x 175–200g/6–7oz pork chops, bone in 50g/1¾oz plain flour 1 large free-range egg, beaten 100–120g/3½–4¼oz panko breadcrumbs 500–700ml/18fl oz–1¼ pints vegetable oil small handful fresh flatleaf parsley leaves, very well dried lemon wedges (optional) freshly cooked peas, to serve salt and freshly ground black pepper ",french
"225ml/8fl oz milk ½ onion 12 black peppercorns 25g/1oz butter, plus extra for greasing 25g/1oz plain flour, plus extra for dusting 2 free-range eggs, separated 1 tbsp fresh thyme leaves 100g/3½oz semi-hard goats' cheese, grated salt and freshly ground black pepper watercress, to serve ",french
"40g/1½oz softened butter, plus extra for buttering 40g/1½oz plain flour, plus extra for flouring 350ml/12fl oz milk 125g/4½oz hard cheese (such as Old Winchester orLincolnshire poacher), grated  1 tsp Dijon mustard 3 free-range eggs, separated salt and black pepper 250ml/9fl oz double cream 4 tbsp kirsch 100g/3½oz hard cheese (such as Old Winchester or Lincolnshire poacher), grated 110g/4oz caster sugar 110g/4oz walnut halves vegetable oil, for deep frying 50g/1¾oz dandelion leaves 50g/1¾oz rocket leaves small handful chives, chopped 3 tbsp French dressing ",french
"8 medium-sized langoustines  1 whole Dover sole, about 600g/1lb 5oz salt and freshly ground black pepper 200ml/7fl oz fish stock 100ml/3½l oz white wine 1 small bouquet garni 1 shallot, finely chopped 8 small to medium-sized asparagus 50g/1¾oz samphire or seaweed ""sea lettuce"" 50g/1¾oz unsalted butter ½ lemon, juice only 2 tbsp snipped chives ",french
"1kg/2lb 4oz potatoes, left unpeeled, cut into small chunks 1 tbsp duck fat (optional, can use 2 tbsp olive oil instead) 1 bulb garlic, broken up into cloves few sprigs rosemary salt and freshly ground black pepper 50g/1¾oz granulated sugar 12 kumquats, sliced, pips removed 200ml/7fl oz red wine 1 tbsp red wine vinegar 2 large shallots, finely chopped 2 star anise 2 oranges, juice only 500ml/18fl oz chicken stock salt and freshly ground black pepper 4 duck breasts dash oil or duck fat salt and freshly ground black pepper ",french
"½ large orange 1.8kg/4lb whole ready-to-roast duck 2 tsp flaked sea salt, plus extra to season 2 bay leaves ½ onion, cut into four wedges freshly ground black pepper ½ onion, peeled and thinly sliced  4 tbsp orange liqueur, such as Cointreau 75ml/2½fl oz red wine 1½ large oranges, freshly squeezed juice only (around 150ml/5fl oz) 3 tbsp orange marmalade 2 tsp cornflour (if you want a thinner sauce only use 1 tsp) ",french
