,Ingredients,Cuisine
12,"['plain', 'flour', 'baking', 'powder', 'salt', 'caster', 'sugar', 'free', 'range', 'egg', 'whole', 'milk', 'unsalted', 'butter', 'melted', 'slice', 'cooked', 'american', 'style', 'bacon', 'rindless', 'smoked', 'streaky', 'bacon', 'shallot', 'finely', 'diced', 'peppercorn', 'bay', 'leaf', 'white', 'wine', 'vinegar', 'free', 'range', 'egg', 'yolk', 'butter', 'melted', 'sea', 'salt', 'freshly', 'ground', 'black', 'pepper', 'white', 'wine', 'vinegar', 'free', 'range', 'egg', 'slice', 'streaky', 'bacon', 'finely', 'chive']",6
13,"['caster', 'sugar', 'free', 'range', 'egg', 'plain', 'flour', 'butter', 'melted', 'bramley', 'apple', 'peeled', 'cored', 'thinly', 'sliced', 'butter', 'melted', 'caster', 'sugar', 'caster', 'sugar', 'free', 'range', 'egg', 'white', 'calvados', 'x', 'tub', 'firm', 'vanilla', 'ice', 'cream', 'unsalted', 'butter', 'eating', 'apple', 'peeled', 'sliced', 'brandy']",6
14,"['pasilla', 'chilli', 'seed', 'removed', 'salted', 'butter', 'red', 'onion', 'diced', 'garlic', 'clove', 'achiote', 'paste', 'softened', 'avaliable', 'specialist', 'store', 'online', 'orange', 'juice', 'poblano', 'chilli', 'deseeded', 'finely', 'sliced', 'alternatively', 'pickled', 'jalape', 'pepper', 'tomato', 'deseeded', 'roughly', 'fresh', 'white', 'crab', 'meat', 'handful', 'fresh', 'coriander', 'roughly', 'salt', 'panko', 'breadcrumb', 'parmesan', 'alternaive', 'vegetarian', 'hard', 'cheese', 'grated']",6
15,"['soft', 'cream', 'cheese', 'free', 'range', 'egg', 'vanilla', 'pod', 'seed', 'scraped', 'good', 'quality', 'white', 'chocolate', 'cr', 'fra', 'che', 'butter', 'greasing', 'biscuit', 'crumb', 'dust', 'buttered', 'tin', 'use', 'type', 'love', 'chocolate', 'digestive', 'good']",6
16,"['plain', 'flour', 'bicarbonate', 'soda', 'salt', 'butter', 'plus', 'extra', 'greasing', 'caster', 'sugar', 'free', 'range', 'egg', 'ripe', 'banana', 'mashed', 'buttermilk', 'normal', 'milk', 'mixed', 'lemon', 'juice', 'vinegar', 'vanilla', 'extract']",6
17,"['butter', 'softened', 'plus', 'extra', 'greasing', 'plain', 'flour', 'plus', 'extra', 'dusting', 'ripe', 'banana', 'peeled', 'maple', 'syrup', 'milk', 'optional', 'caster', 'sugar', 'free', 'range', 'egg', 'baking', 'powder', 'pecan', 'nut', 'roughly', 'double', 'cream']",6
18,"['melted', 'butter', 'self', 'raising', 'flour', 'baking', 'powder', 'bicarbonate', 'soda', 'pinch', 'salt', 'ground', 'cinnamon', 'ground', 'nutmeg', 'caster', 'sugar', 'vanilla', 'extract', 'ripe', 'banana', 'free', 'range', 'egg', 'milk', 'walnut', 'kernel', 'optional', 'banana', 'sliced', 'walnut', 'kernel', 'cr', 'fra', 'che', 'yoghurt', 'runny', 'honey']",6
19,"['butter', 'cubed', 'self', 'raising', 'flour', 'baking', 'powder', 'free', 'range', 'egg', 'soft', 'light', 'brown', 'sugar', 'pint', 'whole', 'milk', 'banana', 'roughly', 'sunflower', 'oil', 'rasher', 'rindless', 'streaky', 'bacon', 'maple', 'golden', 'syrup', 'serve']",6
20,"['butter', 'brown', 'sugar', 'ground', 'cinnamon', 'banana', 'liqueur', 'banana', 'peeled', 'quartered', 'dark', 'rum', 'scoop', 'ready', 'made', 'vanilla', 'ice', 'cream', 'serve']",6
21,"['baby', 'back', 'pork', 'rib', 'rack', 'celery', 'stalk', 'trimmed', 'halved', 'onion', 'thickly', 'sliced', 'red', 'chilli', 'cut', 'half', 'lengthways', 'garlic', 'bulb', 'cut', 'half', 'horizontally', 'apple', 'juice', 'tomato', 'ketchup', 'dark', 'muscovado', 'sugar', 'worcestershire', 'sauce', 'hot', 'smoked', 'paprika', 'sweet', 'smoked', 'paprika', 'white', 'wine', 'vinegar', 'bourbon', 'whiskey', 'free', 'range', 'egg', 'yolk', 'dijon', 'mustard', 'cider', 'vinegar', 'rapeseed', 'oil', 'celeriac', 'julienned', 'placed', 'acidulated', 'water', 'roughly', 'fresh', 'flatleaf', 'parsley', 'sea', 'salt', 'freshly', 'ground', 'black', 'pepper']",6
22,"['lamb', 'rib', 'litre', 'pint', 'cola', 'tomato', 'ketchup', 'black', 'peppercorn', 'crushed', 'mortar', 'pestle', 'cayenne', 'pepper', 'optional', 'bourbon', 'whiskey', 'maple', 'syrup', 'brown', 'sugar', 'soy', 'sauce', 'bay', 'leaf', 'rosemary', 'sprig', 'garlic', 'clove', 'crushed', 'pounded', 'mortar', 'pestle']",6
23,"['cider', 'vinegar', 'dark', 'brown', 'sugar', 'smoked', 'paprika', 'dijon', 'mustard', 'dark', 'soy', 'sauce', 'sea', 'salt', 'black', 'pepper', 'boneless', 'chicken', 'thigh', 'skin', 'red', 'cabbage', 'finely', 'sliced', 'carrot', 'coarsely', 'grated', 'red', 'onion', 'finely', 'sliced', 'radish', 'sliced', 'spring', 'onion', 'finely', 'sliced', 'lime', 'juice', 'black', 'onion', 'seed', 'sunflower', 'seed', 'pumpkin', 'seed', 'bunch', 'fresh', 'coriander', 'finely', 'bunch', 'fresh', 'mint', 'finely']",6
24,"['onion', 'clove', 'garlic', 'crushed', 'olive', 'oil', 'red', 'chilli', 'finely', 'fennel', 'seed', 'crushed', 'dark', 'brown', 'sugar', 'dark', 'soy', 'sauce', 'tomato', 'ketchup', 'salt', 'pepper']",6
25,"['minced', 'beef', 'onion', 'grated', 'fresh', 'parsley', 'thyme', 'salt', 'pepper', 'taste']",6
26,"['lean', 'beef', 'mince', 'fresh', 'white', 'breadcrumb', 'dijon', 'mustard', 'sun', 'dried', 'tomato', 'paste', 'onion', 'finely', 'fresh', 'marjoram', 'flatleaf', 'parsley', 'free', 'range', 'egg', 'yolk', 'oil', 'salt', 'freshly', 'ground', 'black', 'pepper', 'full', 'fat', 'mayonnaise', 'lemon', 'juice', 'dash', 'sugar', 'hot', 'horseradish', 'sauce', 'carrot', 'peeled', 'coarsely', 'grated', 'raw', 'beetroot', 'peeled', 'grated', 'stick', 'celery', 'finely', 'spring', 'onion', 'flatleaf', 'parsley', 'dijon', 'mustard', 'salt', 'freshly', 'ground', 'black', 'pepper', 'burger', 'brioche', 'bun', 'cut', 'half', 'beefsteak', 'tomato', 'thickly', 'sliced', 'little', 'gem', 'leaf', 'separated', 'gherkin', 'thinly', 'sliced']",6
27,"['jacob', 'ladder', 'beef', 'rib', 'onion', 'head', 'garlic', 'cut', 'half', 'horizontally', 'fennel', 'seed', 'star', 'anise', 'baking', 'potato', 'little', 'oil', 'sea', 'salt', 'freshly', 'ground', 'black', 'pepper', 'double', 'cream', 'lemon', 'juice', 'chive', 'finely', 'sliced', 'butter', 'plus', 'extra', 'serve', 'onion', 'roughly', 'garlic', 'clove', 'crushed', 'red', 'chilli', 'finely', 'sliced', 'fennel', 'seed', 'crushed', 'star', 'anise', 'light', 'muscovado', 'sugar', 'tomato', 'ketchup', 'chipotle', 'chilli', 'ketchup', 'dark', 'soy', 'sauce']",6
28,"['sweet', 'smoked', 'paprika', 'hot', 'smoked', 'paprika', 'chilli', 'flake', 'dijon', 'mustard', 'red', 'wine', 'vinegar', 'lime', 'juice', 'plus', 'extra', 'lime', 'wedge', 'serving', 'lemon', 'juice', 'plus', 'extra', 'lemon', 'wedge', 'serving', 'olive', 'oil', 'chicken', 'baking', 'potato', 'scrubbed', 'garlic', 'bulb', 'beer', 'half', 'full', 'finely', 'chive', 'butter', 'softened', 'sea', 'salt', 'freshly', 'ground', 'black', 'pepper', 'head', 'lettuce', 'root', 'removed', 'leaf', 'separated', 'washed', 'ripe', 'tomato', 'cut', 'chunk', 'cucumber', 'cut', 'half', 'lengthways', 'half', 'moon', 'slice', 'extra', 'virgin', 'olive', 'oil']",6
29,"['sea', 'salt', 'flake', 'dark', 'brown', 'sugar', 'black', 'peppercorn', 'garlic', 'clove', 'lightly', 'crushed', 'bay', 'leaf', 'yellow', 'mustard', 'seed', 'soaked', 'cold', 'water', 'overnight', 'sprig', 'fresh', 'thyme', 'sprig', 'fresh', 'flatleaf', 'parsley', 'beer', 'preferably', 'good', 'quality', 'ale', 'x', 'six', 'rib', 'pork', 'loin', 'rack', 'french', 'trimmed', 'ask', 'butcher', 'unsalted', 'butter', 'brioche', 'roughly', 'torn', 'english', 'mustard', 'powder', 'brown', 'mustard', 'seed', 'soaked', 'water', 'overnight', 'swiss', 'chard', 'trimmed', 'slice', 'potato', 'peeled', 'cut', 'piece', 'onion', 'sliced', 'unsalted', 'butter', 'plain', 'flour', 'full', 'fat', 'milk', 'chicken', 'stock', 'gruy', 'grated', 'salt', 'freshly', 'ground', 'black', 'pepper']",6
30,"['dark', 'chocolate', 'minimum', 'cocoa', 'solid', 'broken', 'square', 'unsalted', 'butter', 'cubed', 'plus', 'greasing', 'light', 'brown', 'sugar', 'peeled', 'cooked', 'beetroot', 'roughly', 'free', 'range', 'egg', 'cocoa', 'powder', 'pinch', 'salt', 'plain', 'flour', 'ground', 'almond']",6
31,"['frozen', 'berry', 'raspberry', 'blackberry', 'cherry', 'blueberry', 'blackcurrants', 'work', 'well', 'mix', 'caster', 'sugar', 'cornflour', 'plain', 'flour', 'cold', 'unsalted', 'butter', 'cut', 'smallish', 'cube', 'caster', 'sugar', 'plain', 'flour', 'baking', 'powder', 'cinnamon', 'ground', 'almond', 'caster', 'sugar', 'butter', 'melted', 'free', 'range', 'egg', 'yoghurt', 'thinned', 'milk']",6
32,"['dark', 'cooking', 'chocolate', 'least', 'cocoa', 'solid', 'broken', 'piece', 'free', 'range', 'egg', 'vegetable', 'oil', 'soft', 'brown', 'sugar', 'almond', 'extract', 'cocoa', 'plain', 'flour', 'baking', 'powder', 'pinch', 'salt']",6
33,"['digestive', 'biscuit', 'butter', 'melted', 'blackberry', 'caster', 'sugar', 'vanilla', 'pod', 'split', 'full', 'fat', 'cream', 'cheese', 'free', 'range', 'egg', 'lemon', 'juice', 'double', 'cream', 'plain', 'flour', 'caster', 'sugar', 'honey', 'liquid', 'glucose', 'caster', 'sugar', 'bicarbonate', 'soda', 'freshly', 'ground', 'black', 'pepper', 'optional']",6
34,"['blue', 'cheese', 'crumbled', 'keep', 'aside', 'scatter', 'endive', 'leaf', 'white', 'wine', 'vinegar', 'cider', 'vinegar', 'walnut', 'hazelnut', 'oil', 'sunflower', 'oil', 'dash', 'lemon', 'juice', 'salt', 'freshly', 'ground', 'black', 'pepper', 'season', 'endive', 'leaf']",6
35,"['free', 'range', 'egg', 'garlic', 'clove', 'peeled', 'crushed', 'lime', 'juice', 'worcestershire', 'sauce', 'anchovy', 'fillet', 'olive', 'oil', 'plus', 'little', 'extra', 'frying', 'freshly', 'ground', 'black', 'pepper', 'thick', 'slice', 'white', 'bread', 'crust', 'removed', 'cubed', 'co', 'lettuce', 'washed', 'dried', 'torn', 'piece', 'parmesan', 'cheese', 'coarsely', 'grated']",6
36,"['ground', 'cumin', 'smoked', 'paprika', 'dried', 'thyme', 'dried', 'oregano', 'red', 'chilli', 'flake', 'garlic', 'salt', 'olive', 'oil', 'lemon', 'finely', 'grated', 'lemon', 'zest', 'juice', 'skinless', 'chicken', 'breast', 'sweet', 'potato', 'scrubbed', 'cut', 'thick', 'wedge', 'light', 'olive', 'oil', 'sweet', 'smoked', 'paprika', 'sea', 'salt', 'freshly', 'ground', 'black', 'pepper']",6
37,"['mayonnaise', 'use', 'vegan', 'required', 'tomato', 'ketchup', 'dijon', 'mustard', 'cajun', 'seasoning']",6
38,"['sea', 'salt', 'sweet', 'paprika', 'garlic', 'powder', 'ground', 'white', 'pepper', 'onion', 'powder', 'ground', 'cumin', 'cayenne', 'pepper', 'dried', 'oregano', 'dried', 'thyme', 'dried', 'basil', 'optional']",6
39,"['x', 'hot', 'smoked', 'e', 'cooked', 'salmon', 'fillet', 'clear', 'honey', 'soy', 'sauce', 'piece', 'fresh', 'ginger', 'peeled', 'grated', 'read', 'made', 'mayonnaise', 'light', 'soy', 'sauce', 'sugar', 'rice', 'vinegar', 'water', 'baby', 'spinach', 'leaf', 'sun', 'blushed', 'tomato', 'pine', 'nut', 'toasted', 'spring', 'onion', 'finely', 'sliced', 'lime', 'cut', 'wedge', 'bunch', 'coriander', 'leaf']",6
40,"['chicken', 'breast', 'skin', 'removed', 'slice', 'sourdough', 'bread', 'extra', 'virgin', 'olive', 'oil', 'little', 'gem', 'lettuce', 'leaf', 'separated', 'tomato', 'preferably', 'sweet', 'deep', 'flavoured', 'heirloom', 'variety', 'thinly', 'sliced', 'avocado', 'peeled', 'stone', 'removed', 'sliced', 'salt', 'black', 'pepper', 'soured', 'cream', 'mayonnaise', 'chipotle', 'en', 'adobo', 'sauce']",6
41,"['orange', 'sweet', 'potato', 'washed', 'white', 'sweet', 'potato', 'washed', 'dark', 'brown', 'sugar', 'butter', 'cinnamon', 'vanilla', 'essence', 'orange', 'juice', 'marshmallow']",6
42,"['pint', 'sunflower', 'oil', 'soft', 'light', 'brown', 'sugar', 'egg', 'lightly', 'beaten', 'golden', 'syrup', 'wholemeal', 'self', 'raising', 'flour', 'level', 'ground', 'cinnamon', 'ground', 'allspice', 'ground', 'ginger', 'bicarbonate', 'soda', 'finely', 'grated', 'carrot', 'sultana', 'desiccated', 'coconut', 'fine', 'cut', 'orange', 'marmalade', 'cream', 'cheese', 'coconut', 'cream', 'icing', 'sugar', 'freshly', 'grated', 'ground', 'nutmeg', 'ground', 'cinnamon', 'finish']",6
43,"['skinless', 'chicken', 'breast', 'extra', 'virgin', 'olive', 'oil', 'salt', 'freshly', 'ground', 'black', 'pepper', 'heart', 'co', 'romaine', 'lettuce', 'shredded', 'parmesan', 'shaving', 'flour', 'tortilla', 'wrap', 'clove', 'garlic', 'crushed', 'anchovy', 'fillet', 'egg', 'yolk', 'dijon', 'mustard', 'lemon', 'juice', 'salt', 'freshly', 'ground', 'black', 'pepper', 'olive', 'oil']",6
44,"['hollandaise', 'sauce', 'fresh', 'egg', 'slice', 'pancetta', 'grilled', 'crisp', 'english', 'muffin', 'split', 'half', 'horizontally', 'little', 'butter']",6
45,"['olive', 'oil', 'baby', 'spinach', 'leaf', 'garlic', 'clove', 'chutney', 'day', 'old', 'french', 'style', 'baguette', 'cut', 'round', 'free', 'range', 'egg', 'full', 'fat', 'milk', 'strong', 'cheddar', 'cheese', 'grated', 'soft', 'goat', 'cheese', 'torn', 'piece', 'sprig', 'rosemary', 'salt', 'freshly', 'ground', 'black', 'pepper']",6
46,"['free', 'range', 'egg', 'yolk', 'cold', 'butter', 'cut', 'cube', 'lemon', 'juice', 'chive', 'sea', 'salt', 'plain', 'flour', 'baking', 'powder', 'salt', 'caster', 'sugar', 'free', 'range', 'egg', 'whole', 'milk', 'unsalted', 'butter', 'slice', 'ham', 'shredded', 'cheddar', 'grated', 'fresh', 'free', 'range', 'egg', 'white', 'wine', 'vinegar', 'sea', 'salt', 'unsalted', 'butter', 'handful', 'fresh', 'spinach']",6
47,"['dark', 'chocolate', 'minimum', 'cocoa', 'solid', 'unsalted', 'butter', 'free', 'range', 'egg', 'caster', 'sugar', 'strong', 'espresso', 'coffee', 'plain', 'flour', 'full', 'fat', 'cream', 'cheese', 'caster', 'sugar', 'free', 'range', 'egg', 'orange', 'zest']",6
48,"['sirloin', 'steak', 'olive', 'oil', 'frying', 'salt', 'freshly', 'ground', 'black', 'pepper', 'onion', 'thinly', 'sliced', 'button', 'mushroom', 'thinly', 'sliced', 'green', 'pepper', 'thinly', 'sliced', 'semi', 'soft', 'cheese', 'port', 'salut', 'taleggio', 'brie', 'panini', 'roll', 'demi', 'baguette', 'lightly', 'toasted']",6
49,"['good', 'quality', 'black', 'cherry', 'jam', 'water', 'ground', 'arrowroot', 'mixed', 'paste', 'water', 'fresh', 'red', 'cherry', 'stalk', 'stone', 'removed', 'plain', 'flour', 'plus', 'extra', 'dusting', 'fridge', 'cold', 'unsalted', 'butter', 'cut', 'cube', 'caster', 'sugar', 'plus', 'topping', 'free', 'range', 'egg', 'beaten', 'cold', 'water']",6
50,"['chestnut', 'mushroom', 'olive', 'oil', 'banana', 'shallot', 'finely', 'pancetta', 'bacon', 'lardons', 'garlic', 'clove', 'crushed', 'skinless', 'boneless', 'chicken', 'thigh', 'cut', 'piece', 'dijon', 'mustard', 'chicken', 'stock', 'cr', 'fra', 'che', 'fettucine', 'tagliatelle', 'unwaxed', 'lemon', 'finely', 'grated', 'zest', 'juice', 'handful', 'fresh', 'tarragon', 'leaf', 'picked', 'roughly', 'plus', 'extra', 'garnish', 'salt']",6
51,"['skinless', 'boneless', 'chicken', 'breast', 'garlic', 'clove', 'grated', 'olive', 'oil', 'rasher', 'smoked', 'streaky', 'bacon', 'wholemeal', 'burger', 'bun', 'little', 'gem', 'lettuce', 'leaf', 'separated', 'tomato', 'sliced', 'ripe', 'avocado', 'quartered', 'sliced', 'salt', 'freshly', 'ground', 'black', 'pepper', 'reduced', 'fat', 'mayonnaise', 'soured', 'cream', 'garlic', 'clove', 'finely', 'grated', 'finely', 'dill', 'finely', 'chive', 'dash', 'worcestershire', 'sauce', 'pinch', 'cayenne', 'pepper', 'dash', 'sriracha', 'hot', 'sauce', 'white', 'wine', 'vinegar', 'mild', 'american', 'mustard']",6
52,"['olive', 'oil', 'chicken', 'thigh', 'boneless', 'skin', 'removed', 'cut', 'piece', 'chorizo', 'smoked', 'sausage', 'kobanos', 'sliced', 'onion', 'finely', 'celery', 'stick', 'finely', 'garlic', 'clove', 'finely', 'red', 'pepper', 'thinly', 'sliced', 'tin', 'tomato', 'cayenne', 'pepper', 'taste', 'basmati', 'rice', 'chicken', 'stock', 'made', 'stock', 'cube', 'salt', 'freshly', 'ground', 'black', 'pepper', 'handful', 'fresh', 'parsley', 'finely', 'optional']",6
53,"['olive', 'oil', 'onion', 'finely', 'garlic', 'clove', 'crushed', 'grated', 'minced', 'chicken', 'bacon', 'finely', 'ground', 'oregano', 'lemon', 'zest', 'dijon', 'mustard', 'worcestershire', 'sauce', 'double', 'cream', 'breadcrumb', 'free', 'range', 'egg', 'white', 'gruy', 'grated', 'slice', 'rindless', 'streaky', 'bacon', 'ketchup', 'worcestershire', 'sauce', 'dijon', 'mustard', 'maple', 'syrup', 'cider', 'vinegar']",6
54,"['free', 'range', 'egg', 'yolk', 'white', 'wine', 'vinegar', 'dijon', 'mustard', 'lemon', 'juice', 'salted', 'anchovy', 'fillet', 'smoked', 'paprika', 'vegetable', 'oil', 'vegetable', 'sunflower', 'oil', 'deep', 'frying', 'semolina', 'flour', 'plus', 'extra', 'dusting', 'tapioca', 'flour', 'available', 'online', 'health', 'food', 'specialist', 'bicarbonate', 'soda', 'sparkling', 'water', 'skinless', 'chicken', 'breast', 'cut', 'nugget', 'sized', 'piece', 'pinch', 'cayenne', 'pepper', 'pinch', 'sea', 'salt', 'flake']",6
55,"['olive', 'oil', 'garlic', 'clove', 'crushed', 'tin', 'tomato', 'chicken', 'breast', 'panko', 'breadcrumb', 'free', 'range', 'egg', 'beaten', 'butter', 'pinch', 'dried', 'chilli', 'flake', 'mozzarella', 'cut', 'mm', 'thick', 'slice', 'handful', 'fresh', 'basil', 'oregano', 'leaf', 'salt']",6
56,"['plain', 'flour', 'pinch', 'salt', 'butter', 'plus', 'extra', 'greasing', 'free', 'range', 'egg', 'lightly', 'beaten', 'icing', 'sugar', 'blueberry', 'reserving', 'blueberry', 'decoration', 'apple', 'juice', 'caster', 'sugar', 'vanilla', 'extract', 'ground', 'cinnamon', 'x', 'sachet', 'pectin', 'cornflour', 'raspberry', 'reserving', 'raspberry', 'decoration', 'caster', 'sugar', 'lemon', 'juice', 'sachet', 'powdered', 'gelatine', 'soaked', 'cold', 'water', 'double', 'cream', 'whipped', 'soft', 'peak', 'pint', 'double', 'cream', 'cold', 'straight', 'fridge', 'icing', 'sugar', 'vanilla', 'extract', 'raspberry', 'caster', 'sugar', 'cornflour', 'blueberry', 'caster', 'sugar', 'cornflour']",6
57,"['dark', 'chocolate', 'biscuit', 'oreo', 'broken', 'quarter', 'butter', 'melted', 'butter', 'soft', 'light', 'brown', 'sugar', 'sea', 'salt', 'dark', 'chocolate', 'broken', 'piece', 'dried', 'red', 'chilli', 'soaked', 'boiling', 'water', 'thinly', 'sliced', 'water', 'reserved', 'double', 'whipping', 'cream', 'cocoa', 'nib', 'golden', 'caster', 'sugar', 'water', 'soaked', 'chilli', 'see', 'macadamia', 'nut', 'double', 'cream', 'icing', 'sugar', 'lime', 'finely', 'pared', 'zest', 'sprinkle', 'mexican', 'chilli', 'powder']",6
58,"['dark', 'chocolate', 'cocoa', 'solid', 'unsalted', 'butter', 'free', 'range', 'egg', 'dark', 'muscovado', 'sugar', 'plain', 'flour', 'sifted', 'baking', 'powder', 'pinch', 'salt', 'fresh', 'raspberry']",6
59,"['damson', 'washed', 'stalk', 'removed', 'caster', 'sugar', 'self', 'raising', 'flour', 'baking', 'powder', 'chilled', 'butter', 'diced', 'caster', 'sugar', 'plus', 'pinch', 'salt', 'egg', 'buttermilk', 'flaked', 'almond']",6
60,"['butter', 'dark', 'chocolate', 'free', 'range', 'egg', 'caster', 'sugar', 'vanilla', 'extract', 'plain', 'flour', 'salt', 'white', 'chocolate', 'icing', 'sugar', 'decorate', 'optional']",6
61,"['dark', 'chocolate', 'minimum', 'cocoa', 'solid', 'unsalted', 'butter', 'plus', 'extra', 'greasing', 'free', 'range', 'egg', 'dark', 'soft', 'brown', 'sugar', 'plain', 'flour', 'baking', 'powder', 'fresh', 'cherry', 'cut', 'half', 'stone', 'removed', 'white', 'chocolate', 'roughly', 'cocoa', 'powder', 'dusting']",6
62,"['yeast', 'caster', 'sugar', 'milk', 'warmed', 'plain', 'flour', 'plus', 'extra', 'dusting', 'salt', 'butter', 'melted', 'free', 'range', 'egg', 'beaten', 'vegetable', 'oil', 'deep', 'frying', 'jam', 'choice']",6
63,"['cold', 'unsalted', 'butter', 'cut', 'piece', 'light', 'soft', 'brown', 'sugar', 'caster', 'sugar', 'free', 'range', 'egg', 'vanilla', 'extract', 'pinch', 'sea', 'salt', 'plain', 'flour', 'sugar', 'coated', 'mini', 'chocolate', 'egg']",6
64,"['butter', 'grease', 'butter', 'baby', 'spinach', 'leaf', 'bacon', 'finely', 'egg', 'double', 'cream', 'grated', 'parmesan', 'gruyere', 'breadcrumb', 'thyme', 'leaf', 'garnish']",6
65,"['unsalted', 'butter', 'softened', 'soft', 'light', 'brown', 'sugar', 'granulated', 'sugar', 'free', 'range', 'egg', 'vanilla', 'extract', 'plain', 'flour', 'baking', 'powder', 'good', 'quality', 'milk', 'chocolate', 'roughly', 'chunk', 'sea', 'salt']",6
